Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
801009,-16.11328,3.41797,1020.50781,-7.8125,-6.34766,1018.06641,-9.76562,-57.61719,1029.29688
806015,-16.60156,7.8125,1018.06641,-3.41797,6.83594,1015.625,0.48828,-68.84766,1015.625
811028,-13.18359,14.64844,1027.83203,-18.55469,1.95312,1026.36719,-8.30078,-71.77734,1016.11328
816043,-9.76562,3.90625,1020.50781,1.95312,7.32422,1012.69531,-11.71875,-58.10547,1014.64844
821058,-22.46094,18.55469,1013.67187,-16.60156,5.85937,1011.71875,-3.90625,-60.54688,1018.55469
826069,-14.16016,8.30078,1013.18359,-11.71875,7.8125,1018.55469,-11.23047,-66.40625,1034.17969
831076,-20.01953,14.64844,1020.50781,-10.74219,-5.85937,1012.20703,-13.18359,-52.73438,1027.34375
836087,-11.23047,3.90625,1027.34375,0.97656,3.41797,1022.94922,-7.8125,-66.89453,1009.76562
841093,-9.76562,2.44141,1021.97266,-19.04297,10.74219,1025.39063,-17.57813,-62.5,1029.78516
846099,-21.97266,-0.48828,1018.55469,-3.90625,3.41797,1017.08984,-5.85937,-72.26563,1017.08984
851115,-23.4375,11.71875,1028.80859,-11.71875,-5.37109,1019.04297,9.76562,-72.26563,1024.90234
856122,-20.01953,1.95312,1022.94922,-24.41406,-4.88281,1007.32422,-13.67187,-70.80078,1024.90234
861127,-9.27734,3.41797,1021.48437,1.95312,-6.83594,1019.53125,-9.76562,-66.89453,1007.32422
866140,-10.25391,-3.90625,1013.18359,-14.64844,-0.48828,1013.67187,-8.30078,-68.35938,1022.46094
871151,-12.69531,9.76562,1020.01953,-9.76562,-6.83594,1006.34766,-15.625,-80.56641,1019.04297
876160,-1.46484,19.04297,1018.06641,-12.69531,6.83594,1022.94922,-6.34766,-74.21875,1024.90234
881171,-8.30078,7.8125,1031.73828,-9.76562,4.88281,1013.18359,-8.78906,-67.87109,1003.41797
886175,-23.92578,11.23047,1007.8125,-6.83594,1.95312,1020.01953,9.76562,-67.38281,1026.36719
891176,-15.625,14.16016,1010.74219,0.0,1.46484,1012.20703,1.95312,-69.82422,1015.13672
896175,-22.46094,-1.95312,1021.97266,-6.34766,-4.88281,1017.08984,8.78906,-80.56641,1024.90234
901176,-11.23047,4.88281,1016.11328,-5.85937,-5.37109,1015.625,4.39453,-64.45313,1015.625
906176,-18.06641,11.23047,1024.90234,-5.85937,-8.78906,1011.23047,-10.25391,-73.24219,1016.11328
911178,-6.34766,5.37109,1018.55469,-11.71875,0.97656,1020.99609,-0.97656,-57.61719,1020.01953
916178,-23.92578,5.85937,1021.48437,-2.92969,6.34766,1017.57812,-2.44141,-71.28906,1022.94922
921179,-9.27734,4.39453,1024.41406,-17.57813,-0.97656,1032.71484,-11.71875,-70.3125,1025.39063
926181,0.48828,4.88281,1018.55469,-10.74219,-1.95312,1019.04297,-20.50781,-70.3125,1018.06641
931181,-13.67187,4.88281,1017.57812,-8.78906,5.37109,1014.64844,-1.95312,-60.05859,1028.32031
936181,-2.44141,2.92969,1022.94922,-21.48438,2.92969,1011.71875,-29.78516,-62.98828,1012.20703
941181,-16.60156,0.0,1019.53125,0.97656,5.37109,1019.04297,-14.64844,-73.24219,1008.30078
946178,-6.83594,11.23047,1015.13672,-18.06641,-8.30078,1016.11328,-7.32422,-63.96484,1024.90234
951178,-4.88281,2.44141,1024.41406,-4.39453,12.69531,1010.25391,1.95312,-62.5,1026.85547
956181,-1.95312,8.30078,1030.27344,-3.41797,4.88281,1014.64844,-3.90625,-56.64063,1013.67187
961181,-3.90625,15.13672,1018.55469,-1.46484,-7.32422,1021.48437,-5.85937,-57.12891,1023.4375
966181,-10.25391,5.37109,1017.08984,-4.88281,6.34766,1010.74219,-0.97656,-52.24609,1007.8125
